,product,alt_name,PFAM,GO_function,GO_process,GO_component,TransMembrane,SECRETED,antiSMASH,MEROPS,EggNog,COG,BUSCO,CAZy,SMCOG,CPSG,CiRS,WT.S/WT.H,p(WT.S/WT.H),Cp_S/Cp_H,p(Cp_S/Cp_H),Beyhan_exp,Whiston_exp
D8B26_001161,rRNA-binding ribosome biosynthesis protein rpf2,RPF2,PF04427, GO:0019843 - rRNA binding, GO:0000027 - ribosomal large subunit assembly; GO:0000470 - maturation of LSU-rRNA,,,,,,ENOG410PFUF,J,299559at4751;10866at33183,,,CPSG_00013,CIMG_02157,0.133815905280515,0.615793582929095,0.558999176355293,0.00839414891861335,no upreg,no upreg
D8B26_001162,hypothetical protein,,PF02466,,,,2 (i125-142o164-181i),,,,ENOG410PN4H,U,13010at33183,,,CPSG_00012,CIMG_02153,-0.143425826472398,0.720800251270249,0.111458324263457,0.684669014142935,no upreg,no upreg
D8B26_001163,hypothetical protein,,PF02636,,,,,,,,ENOG410PISG,S,4334at33183,,,CPSG_00011,CIMG_02148,-1.00227554392117,0.00163108555763415,-0.732360637770324,0.00699892689923334,hyphae_upreg,no upreg
D8B26_001164,endoplasmic oxidoreductin-1,ERO1_1,PF04137," GO:0016671 - oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor; GO:0003756 - protein disulfide isomerase activity", GO:0055114 - oxidation-reduction process, GO:0005783 - endoplasmic reticulum,,SignalP(1-21),,,ENOG410PG36,"O,U",211442at4751;3150at33183,,,CPSG_00010,CIMG_02147,-2.0592454101086,0.00217742414671433,-1.02155434759989,0.000562718544336313,hyphae_upreg,hyphae_upreg
D8B26_001165,hypothetical protein,,PF13391,,,,,,,,ENOG410PY1S,,,,,CPSG_00009,CIMG_02142,-0.10336002470611,0.642370204526432,-0.568120424376266,0.00601900505358693,no upreg,no upreg
D8B26_001166,hypothetical protein,,PF01088, GO:0004843 - thiol-dependent ubiquitin-specific protease activity, GO:0006511 - ubiquitin-dependent protein catabolic process,,,,,MER0015601,ENOG410PJGB,O,7503at33183,,,CPSG_00008,CIMG_02137,0.189380759006513,0.490118990928122,0.858067352617382,0.000107046820038136,no upreg,no upreg
D8B26_001167,hypothetical protein,,PF08755;PF13369, GO:0003677 - DNA binding; GO:0005515 - protein binding,,,,,,,ENOG410PHBI,S,2870at33183,,,CPSG_00007,CIMG_02136,-0.0997896078326104,0.644498250213519,-0.653359928526395,0.00125538680884063,no upreg,no upreg
D8B26_001168,hypothetical protein,,,,,,,,,,ENOG410PZ8Y,,10444at33183,,,CPSG_00006,CIMG_02135,0.110679585989867,0.607603803630302,0.984838345502075,0.00144613224076356,no upreg,no upreg
D8B26_001169,Cysteine protease atg4,ATG4_1,,,,,,,,MER0013559,ENOG410PI8K,O,,,,,,,,,,,
D8B26_001170,Cysteine protease atg4,ATG4_2,,,,,,,,MER0013559,ENOG410PI8K,O,,,,,,,,,,,
D8B26_001171,histone H2B,HTB1,PF00125;PF00808, GO:0003677 - DNA binding; GO:0046982 - protein heterodimerization activity,, GO:0000786 - nucleosome,,,,,ENOG410PNT7,B,16622at33183,,,CPSG_00004,CIMG_02133,-1.5570325370513,0.00577358747779114,-1.78046104869842,1.22150076207396e-06,hyphae_upreg,hyphae_upreg
D8B26_001172,histone H2A,HTA1,PF00125;PF00808;PF16211, GO:0003677 - DNA binding; GO:0046982 - protein heterodimerization activity,, GO:0000786 - nucleosome,,,,,ENOG410PNTK,B,16596at33183,,,CPSG_00003,CIMG_02132,-1.11439694901753,0.00806200447936886,-1.44795876574333,4.24717303653613e-06,hyphae_upreg,hyphae_upreg
D8B26_001173,hypothetical protein,,PF05347,," GO:0006120 - mitochondrial electron transport, NADH to ubiquinone",,,,,,ENOG410PQYY,C,,,,CPSG_00002,CIMG_02131,-0.256984860792599,0.216791810567816,0.1694229098436,0.422228990381392,no upreg,no upreg
D8B26_001174,2-oxoglutarate dehydrogenase complex E2 component,KGD2,PF00198;PF00364," GO:0004149 - dihydrolipoyllysine-residue succinyltransferase activity; GO:0016746 - transferase activity, transferring acyl groups", GO:0006099 - tricarboxylic acid cycle, GO:0045252 - oxoglutarate dehydrogenase complex,,,,,ENOG410PHAP,C,8394at33183,,,CPSG_00001,CIMG_02130,-0.59481045957863,0.041942321550094,-0.534789795552285,0.00890608811337199,no upreg,no upreg
D8B26_001175,hypothetical protein,,PF13391,,,,,,,,ENOG410PXF6,,,,,CPSG_10091,CIMG_02125,0.751717246883995,0.00535509599121147,0.643085820471418,0.0040655079583293,no upreg,no upreg
D8B26_001176,autophagy protein 6,ATG6_1,PF04111;PF17675,, GO:0006914 - autophagy,,,,,,ENOG410PI06,T,179897at4751;5491at33183,,,CPSG_06837,CIMG_10876,-0.0688961664840102,0.774126567975073,0.4416281162006,0.0873260847908291,no upreg,no upreg
D8B26_001177,autophagy protein 6,ATG6_2,,,,,,,,,ENOG410PI06,T,,,,CPSG_06836,CIMG_10875,-1.21908390934178,0.0012530413385664,0.539944361338628,0.0466421957358002,hyphae_upreg,no upreg
D8B26_001178,hypothetical protein,,, GO:0017056 - structural constituent of nuclear pore,,,3 (i74-92o104-121i128-149o),,,,ENOG410PI54,U,14793at4751;423at33183,,,CPSG_06835,CIMG_02109,-1.26812374416131,0.00123827914249536,-0.412124298792907,0.196151974779304,hyphae_upreg,no upreg
D8B26_001179,hypothetical protein,,PF03813;PF17403;PF17404;PF17405;PF17406;PF17407,,,,,,,,ENOG410PG0T,S,31324at4751;750at33183,,,CPSG_06834,CIMG_02108,-0.264141145255797,0.250568942521167,-8.58739274595433,4.61353770959899e-05,no upreg,hyphae_upreg
D8B26_001180,hypothetical protein,,PF01053, GO:0003824 - catalytic activity; GO:0030170 - pyridoxal phosphate binding, GO:0019346 - transsulfuration,,,,,,ENOG410PI7P,E,3580at33183,,,CPSG_06833,CIMG_02107,-0.702419363374718,0.00860480836038356,-0.244705893748233,0.357981610475474,no upreg,no upreg
D8B26_001181,hypothetical protein,,,,,,,,,,ENOG410PJ04,S,11114at33183,,,CPSG_06832,CIMG_02106,-0.0840268646591014,0.798914071788907,1.01655716193203,0.000343510986485068,no upreg,spherule_upreg
D8B26_001182,hypothetical protein,,PF12824,,,,,SignalP(1-29),,,ENOG410PQUD,J,13825at33183,,,CPSG_06831,CIMG_02105,-0.854432624279281,0.0509027075010815,0.0624718726663351,0.750664721134908,no upreg,no upreg
D8B26_001183,hypothetical protein,,PF01546;PF07687, GO:0016787 - hydrolase activity,,,,,,MER0026471,ENOG410PHND,E,4579at33183,,,CPSG_06830,CIMG_02104,-2.84567548316572,0.00111948275372252,-0.685688715195589,0.029007620685659,hyphae_upreg,no upreg
D8B26_001184,Structural maintenance of chromosomes protein 6,SMC6_1,PF02463;PF13175;PF13476,, GO:0006281 - DNA repair; GO:0000724 - double-strand break repair via homologous recombination, GO:0030915 - Smc5-Smc6 complex,,,,,ENOG410PGUP,L,,,,CPSG_06829,CIMG_02103,-0.634880504316855,0.0169734879660419,-0.974988565615019,0.000881527194572414,no upreg,no upreg
D8B26_001185,Structural maintenance of chromosomes protein 6,SMC6_2,,,,,,,,,ENOG410PGUP,L,,,,,,,,,,,
D8B26_001186,Structural maintenance of chromosomes protein 6,SMC6_3,,, GO:0006281 - DNA repair; GO:0000724 - double-strand break repair via homologous recombination, GO:0030915 - Smc5-Smc6 complex,,,,,ENOG410PGUP,L,,,,,,,,,,,
D8B26_001187,DExD/H-box ATP-dependent RNA helicase dhh1,DHH1,PF00270;PF00271, GO:0003676 - nucleic acid binding; GO:0005524 - ATP binding,,,,,,,ENOG410PGHM,A,5971at33183,,,CPSG_06828,CIMG_02102,-0.305766806693255,0.124264325426024,-0.30964614814318,0.0631936873309746,no upreg,no upreg
D8B26_001188,hypothetical protein,,, GO:0005347 - ATP transmembrane transporter activity, GO:0055085 - transmembrane transport,,,,,,ENOG410PI3U,C,10469at33183,,,CPSG_06827,CIMG_02101,0.17215212803233,0.36095590698848,0.166905033427839,0.309469908546492,no upreg,no upreg
D8B26_001189,hypothetical protein,,PF00472;PF03462, GO:0003747 - translation release factor activity, GO:0006415 - translational termination,,,,,,ENOG410PH5G,J,7706at33183,,,CPSG_06826,CIMG_02100,-1.22883584246628,0.00103216185377113,0.0531716461954401,0.807013285692924,hyphae_upreg,no upreg
D8B26_001190,hypothetical protein,,PF12520,,,,,,,,ENOG410PU90,S,,,,CPSG_06825,CIMG_12719,1.02753928642909,0.00498790262288234,-0.379866412859515,0.0414253480588707,spherule_upreg,no upreg
D8B26_001191,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,
D8B26_001192,hypothetical protein,,PF01636,,,,1 (o12-35i),,,,ENOG410PWF0,S,,,,CPSG_06823,CIMG_02094,0.395201228077444,0.388705275581432,1.32048101687387,0.00150972700176715,no upreg,spherule_upreg
D8B26_001193,hypothetical protein,,PF00226;PF13181, GO:0005515 - protein binding,,,,SignalP(1-23),,,ENOG410PJCZ,O,7010at33183,,,CPSG_06822,CIMG_02090,-1.47459783080038,0.000968506763003725,-0.781502297732358,0.000221130341477306,hyphae_upreg,no upreg
D8B26_001194,hypothetical protein,,PF01135, GO:0004719 - protein-L-isoaspartate (D-aspartate) O-methyltransferase activity, GO:0006464 - cellular protein modification process,,,,,,ENOG410PKHZ,O,12009at33183,,,CPSG_06821,CIMG_02089,0.741244999699484,0.093095760538174,0.515783878203302,0.00563055688355427,no upreg,no upreg
D8B26_001195,hypothetical protein,,PF00069, GO:0004672 - protein kinase activity; GO:0005524 - ATP binding, GO:0006468 - protein phosphorylation,,,,,,ENOG410PFQ8,D,217097at4751;6597at33183,,,CPSG_06820,CIMG_02088,-0.068165369230023,0.764340840751585,-0.344230149693503,0.141292413342143,no upreg,no upreg
D8B26_001196,Condensin complex subunit,YCS4,PF12717;PF12922,, GO:0030261 - chromosome condensation; GO:0000278 - mitotic cell cycle; GO:0007076 - mitotic chromosome condensation, GO:0005634 - nucleus,,,,,ENOG410PHFI,L,25020at4751;573at33183,,,CPSG_06819,CIMG_02087,-0.956883292936736,0.0119595823327208,-0.416220752437525,0.0945865899533609,no upreg,no upreg
D8B26_001197,hypothetical protein,,PF01237,,,,,,,,ENOG410PK8Z,T,6470at33183,,,CPSG_06818,CIMG_02086,2.1466955569197,0.000199939341476951,-0.286962016776704,0.217135909538755,spherule_upreg,no upreg
D8B26_001198,ubiquitin-specific protease otu1,OTU1,PF02338, GO:0004843 - thiol-dependent ubiquitin-specific protease activity; GO:0101005 - ubiquitinyl hydrolase activity, GO:0030433 - ubiquitin-dependent ERAD pathway; GO:0016579 - protein deubiquitination,,,,,MER0116559,ENOG410PJ6G,O,9668at33183,,,CPSG_06817,CIMG_02085,-0.154371134934539,0.552497759149714,-0.01784832687893,0.945733314987989,no upreg,no upreg
D8B26_001199,hypothetical protein,,PF00439;PF01426, GO:0005515 - protein binding; GO:0003682 - chromatin binding, GO:0006338 - chromatin remodeling, GO:0016586 - RSC-type complex,,,,,ENOG410PFM0,"B,K",2742at33183,,,CPSG_06816,CIMG_02084,0.173196264850123,0.442920767251953,0.476779436683634,0.0101234377594838,no upreg,no upreg
D8B26_001200,hypothetical protein,,PF00642;PF18044, GO:0046872 - metal ion binding,,,,,,,ENOG410QDJX,O,4370at33183,,,CPSG_06815,CIMG_10872,0.904487828542919,0.00467602482530576,0.336825366645177,0.0513317298662417,no upreg,no upreg
D8B26_001201,hypothetical protein,,PF07106,, GO:0007131 - reciprocal meiotic recombination,,,,,,ENOG410QDJX,O,15524at33183,,,CPSG_06814,CIMG_10871,3.00964995407418,0.000523620934502033,1.49988061646369,0.00427455205333557,spherule_upreg,spherule_upreg
D8B26_001202,hypothetical protein,,PF08238, GO:0005515 - protein binding,,,,,,,ENOG410PGIR,"M,O,T",3256at33183,,,CPSG_06813,CIMG_02082,-1.04642178848912,0.00535812519948448,-0.261431814132857,0.14301393668653,hyphae_upreg,no upreg
D8B26_001203,ATP-dependent DNA helicase chl1,CHL1,PF06733;PF13307," GO:0016818 - hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; GO:0003678 - DNA helicase activity; GO:0005524 - ATP binding; GO:0003676 - nucleic acid binding; GO:0004386 - helicase activity; GO:0003677 - DNA binding", GO:0006139 - nucleobase-containing compound metabolic process,,,,,,ENOG410PIVM,L,1987at33183,,,CPSG_06812,CIMG_02080,0.789022125599886,0.24236101121093,-0.313712166028099,0.320074951109437,no upreg,no upreg
D8B26_001204,60S ribosomal protein L28,RPL28,PF00828, GO:0003735 - structural constituent of ribosome, GO:0006412 - translation, GO:0005840 - ribosome; GO:0015934 - large ribosomal subunit,,,,,ENOG410PMZG,J,15028at33183,,,CPSG_06811,CIMG_02079,0.0255198489889903,0.962145310247175,0.276943957048694,0.157200066291442,no upreg,no upreg
D8B26_001205,hypothetical protein,,,,,,,SignalP(1-19),,,ENOG410Q5FS,,,,,CPSG_06810,CIMG_02078,-0.681525803022376,0.510638225057032,0.92549915550745,0.155672295802444,no upreg,no upreg
D8B26_001206,hypothetical protein,,PF11807,, GO:0043386 - mycotoxin biosynthetic process,,1 (i52-74o),,,,ENOG410PRC3,S,,,,CPSG_06809,CIMG_02077,0.270704918986083,0.70456094631936,1.27633352145219,0.000846452315613588,no upreg,spherule_upreg
D8B26_001207,hypothetical protein,,,,,,,,,,ENOG410PMDM,S,8372at33183,,,CPSG_06808,CIMG_02076,-1.94723535248814,0.00292789771130709,0.557453124543305,0.129915356218812,hyphae_upreg,no upreg
D8B26_001208,hypothetical protein,,,,,,,,,,ENOG410PRUM,,,,,CPSG_06807,CIMG_02075,-0.386957272342611,0.216841564865263,-1.08263182318205,0.00175044620844514,no upreg,hyphae_upreg
D8B26_001209,Phospholipase D1,SPO14,PF00614;PF00787, GO:0035091 - phosphatidylinositol binding; GO:0003824 - catalytic activity,,,,,,,ENOG410PG35,I,155at33183,,,CPSG_06806,,-0.657161567457464,0.00911318441607338,0.430444311612361,0.157272206527101,no upreg,no upreg
D8B26_001210,hypothetical protein,,PF14040,,,,,SignalP(1-19),,,ENOG410PR2X,,,,,CPSG_06803,CIMG_02073,1.69665806622649,0.00167747717199791,0.554312802288567,0.0486140308025022,spherule_upreg,no upreg
D8B26_001211,hypothetical protein,,PF00324;PF13520,, GO:0055085 - transmembrane transport, GO:0016020 - membrane,12 (i71-89o101-121i142-160o180-206i218-238o289-310i331- 350o385-405i434-452o464-486i522-542o554-573i),,,,ENOG410PH36,E,,,,CPSG_06802,CIMG_12721,-0.26428366138511,0.686590213451853,0.182350009669209,0.369695689588768,no upreg,no upreg
D8B26_001212,hypothetical protein,,, GO:0005515 - protein binding,,,,,,,ENOG410PK1S,S,1026at33183,,,CPSG_06801,CIMG_02071,-0.02786641484595,0.92909036510176,-0.562609098598712,0.0237659464815965,no upreg,no upreg
D8B26_001213,hypothetical protein,,, GO:0004672 - protein kinase activity; GO:0005524 - ATP binding, GO:0006468 - protein phosphorylation,,,,,,ENOG410PUMK,T,,,,CPSG_06798,,1.59258925469731,0.0433976367063836,1.86744111392189,0.00391056001341485,spherule_upreg,spherule_upreg
D8B26_001214,hypothetical protein,,PF03572, GO:0008236 - serine-type peptidase activity, GO:0006508 - proteolysis,,,SignalP(1-22),,,ENOG410PJ5J,S,,,,CPSG_06796,CIMG_02067,-1.34419782199576,0.00972613988323325,1.73028020764083,0.00104429712196361,hyphae_upreg,spherule_upreg
D8B26_001215,hypothetical protein,,PF00071;PF08477, GO:0005525 - GTP binding; GO:0003924 - GTPase activity, GO:0007165 - signal transduction, GO:0016020 - membrane,,,,,ENOG410PGA4,S,,,,CPSG_06795,CIMG_02066,0.401434282085924,0.0546321641486771,-0.0804841998762065,0.617338873743954,no upreg,no upreg
D8B26_001216,hypothetical protein,,PF01729;PF02749," GO:0016763 - transferase activity, transferring pentosyl groups; GO:0003824 - catalytic activity; GO:0004514 - nicotinate-nucleotide diphosphorylase (carboxylating) activity", GO:0009435 - NAD biosynthetic process,,,,,,ENOG410PG9R,F,12269at33183,,,CPSG_06794,CIMG_02065,-0.143483541083537,0.581902948553855,1.18540891884354,0.000251639984861659,no upreg,spherule_upreg
D8B26_001217,hypothetical protein,,PF01263, GO:0016853 - isomerase activity; GO:0030246 - carbohydrate binding; GO:0003824 - catalytic activity, GO:0005975 - carbohydrate metabolic process,,,,,,ENOG410PGD8,M,9300at33183,,,,,,,,,,
D8B26_001218,hypothetical protein,,PF00172," GO:0008270 - zinc ion binding; GO:0000981 - DNA-binding transcription factor activity, RNA polymerase II-specific"," GO:0006355 - regulation of transcription, DNA-templated", GO:0042025 - host cell nucleus,,,,,ENOG410PNYA,K,,,,CPSG_06787,CIMG_02061,-0.438110753706656,0.306514801981102,0.353352921508863,0.262506386236382,no upreg,no upreg
D8B26_001219,hypothetical protein,,,,,,,,,,,,,,,CPSG_06786,,-3.97667778943138,0.024442733275274,,1.0,hyphae_upreg,
D8B26_001220,Anucleate primary sterigmata protein B,ORF1,PF07989;PF12808,,, GO:0005815 - microtubule organizing center,,,,,ENOG410PIYU,S,652at33183,,,CPSG_06781,CIMG_02057,-1.0603517408738,0.0206632548042991,-0.508738044987902,0.13851429085924,hyphae_upreg,no upreg
D8B26_001221,hypothetical protein,,PF15410, GO:0005086 - ARF guanyl-nucleotide exchange factor activity, GO:0032012 - regulation of ARF protein signal transduction,,,,,,ENOG410PHQI,U,455at33183,,,CPSG_06780,CIMG_02056,0.672596153304015,0.0211797989507096,-0.242205533273178,0.275416512278846,no upreg,no upreg
D8B26_001222,hypothetical protein,,PF05216,,,,5 (o39-58i65-90o149-168i180-203o215-237i),,,,ENOG410Q540,S,,,,CPSG_06778,CIMG_02055,0.438288190176095,0.15853231826682,-0.203781597177845,0.403337647373249,no upreg,no upreg
D8B26_001223,hypothetical protein,,,,,,,,,,ENOG410PSWB,,,,,CPSG_06777,CIMG_02054,-1.85482268137571,0.00144178287870359,-0.573061767186104,0.088280688937242,hyphae_upreg,no upreg
D8B26_001224,hypothetical protein,,PF10252,,,,,,,,ENOG410PPX8,S,16343at33183,,,CPSG_06776,CIMG_02053,-0.845551091533524,0.0179883916134369,-1.73878808015972,3.45930432674925e-07,no upreg,hyphae_upreg
D8B26_001225,hypothetical protein,,,,,,,,,,ENOG410Q5BK,,,,,CPSG_06775,CIMG_02051,0.168332992442467,0.795146904693528,,1.0,no upreg,
D8B26_001226,hypothetical protein,,PF07690, GO:0022857 - transmembrane transporter activity, GO:0055085 - transmembrane transport,,9 (o12-37i49-68o80-100i121-144o159-176i188-208o214-236i248- 268o280-304i),,,,ENOG410PJIM,G,,,,CPSG_06774,CIMG_02050,-2.142387168198,0.0016360567069732,0.240693438712751,0.470956057694097,hyphae_upreg,no upreg
D8B26_001227,hypothetical protein,,PF07766,,,,1 (i191-213o),,,,ENOG410PRP5,S,,,,CPSG_06773,CIMG_02049,-0.647249865306404,0.051044316112737,0.141275555073189,0.482945333978309,no upreg,no upreg
D8B26_001228,hypothetical protein,,,,,,,,,,ENOG410PX1V,L,5598at33183,,,CPSG_06772,CIMG_02048,-1.14768711169337,0.0115720990162212,0.217546330665148,0.239157807211254,hyphae_upreg,no upreg
D8B26_001229,threalose-6-phosphate phosphatase,TPS2_1,PF00982;PF02358, GO:0003824 - catalytic activity, GO:0005992 - trehalose biosynthetic process,,,,,,ENOG410PI8E,G,1186at33183,GT20,,CPSG_06771,CIMG_02047,1.51052536212055,0.000818131693840412,1.92885584849787,6.08837858519301e-05,spherule_upreg,spherule_upreg
D8B26_001230,hypothetical protein,,PF00583;PF08445;PF13508;PF13673, GO:0008080 - N-acetyltransferase activity,,,,,,,ENOG410QE18,K,,,,CPSG_06770,CIMG_02046,0.751239977652473,0.285678792104843,-0.748816059415804,0.0191742689853406,no upreg,no upreg
D8B26_001232,hypothetical protein,,PF00569;PF16158, GO:0008270 - zinc ion binding,,,,,,,ENOG410QEAD,S,2225at33183,,,CPSG_06769,CIMG_02045,-0.64625998194655,0.0839097468302439,-0.380504261954341,0.036160539654391,no upreg,no upreg
D8B26_001233,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,
D8B26_001234,hypothetical protein,,PF09405,,,,,,,,ENOG410PKWB,S,6275at33183,,,CPSG_06766,CIMG_02042,0.166846571738557,0.48173552529183,-0.161594020815308,0.410185241391001,no upreg,no upreg
D8B26_001235,hypothetical protein,,PF00076, GO:0003676 - nucleic acid binding,,,,,,,ENOG410Q4J0,K,10086at33183,,,CPSG_06765,CIMG_02041,0.634270528173129,0.0710192942050168,0.471464870199749,0.0103136601090114,no upreg,no upreg
D8B26_001236,hypothetical protein,,PF14612,, GO:0006338 - chromatin remodeling, GO:0005634 - nucleus; GO:0031011 - Ino80 complex,,,,,ENOG410PRHE,S,12106at33183,,,CPSG_06764,CIMG_02040,1.0050300893997,0.00363207826485639,0.676558492035798,0.00156393005280667,spherule_upreg,no upreg
D8B26_001237,hypothetical protein,,,,,,,,,,,,,,,CPSG_06763,,-0.368683699885516,0.7553788028607,,1.0,no upreg,
D8B26_001238,hypothetical protein,,,,,,,,,,ENOG410PRMD,,,,,CPSG_06761,CIMG_02038,0.348964208011475,0.103201810059092,0.519179528306395,0.00316703578273101,no upreg,no upreg
D8B26_001239,hypothetical protein,,,,,,,,,,ENOG410PTN1,,,,,CPSG_06760,,-0.294863446310946,0.417312609768084,,1.0,no upreg,
D8B26_001240,hypothetical protein,,PF02458," GO:0016747 - transferase activity, transferring acyl groups other than amino-acyl groups",,,,,,,ENOG410PGZS,S,,,,CPSG_06759,CIMG_02037,-0.223361497765269,0.76468793369646,0.440567401087653,0.0785744960582557,no upreg,no upreg
D8B26_001241,hypothetical protein,,PF01565;PF08031, GO:0016491 - oxidoreductase activity; GO:0050660 - flavin adenine dinucleotide binding; GO:0071949 - FAD binding, GO:0055114 - oxidation-reduction process,,,SignalP(1-23),,,ENOG410PN1M,S,,,,CPSG_06758,CIMG_02036,-2.01617170685773,0.000565727041144735,-0.524058105559991,0.105101536729254,hyphae_upreg,no upreg
D8B26_001242,exosome non-catalytic core subunit rrp4,RRP4,PF14382, GO:0003723 - RNA binding,, GO:0000178 - exosome (RNase complex),,,,,ENOG410PK9Y,J,391384at4751;12584at33183,,,CPSG_06757,CIMG_02035,-0.0352945052404143,0.900673644034394,-0.137825679226918,0.563127696419961,no upreg,no upreg
D8B26_001243,hypothetical protein,,PF01237;PF15409,,,,,,,,ENOG410PHWU,T,1535at33183,,,CPSG_06756,CIMG_02034,-0.960750814031642,0.00384054756400047,-0.44624469369999,0.0188381024866998,no upreg,no upreg
D8B26_001244,hypothetical protein,,,,,,,,,,ENOG410PZ9T,S,,,,CPSG_06755,CIMG_02033,-3.24301693001863,0.00012422018921532,-4.18246524862904,2.58434258550512e-07,hyphae_upreg,hyphae_upreg
D8B26_001245,hypothetical protein,,,,,,,,,,ENOG410PZ9T,S,,,,,,,,,,,
D8B26_001246,hypothetical protein,,,,,,,,,,,,,,,CPSG_06754,,-3.3294761195961,0.0246994235094219,-1.48252530100113,0.00349023168899582,hyphae_upreg,hyphae_upreg
D8B26_001247,hypothetical protein,,PF07690, GO:0022857 - transmembrane transporter activity, GO:0055085 - transmembrane transport,,12 (i116-140o152-172i184-210o216-234i246-268o274-292i343- 368o388-411i442-459o465-488i509-527o533-552i),,,,ENOG410PG9Q,G,5064at33183,,,CPSG_06752,CIMG_02030,0.388632511265341,0.546973253426012,0.59667421433284,0.0630850082898716,no upreg,no upreg
D8B26_001248,hypothetical protein,,PF05724, GO:0008757 - S-adenosylmethionine-dependent methyltransferase activity,,,,,,,ENOG410PWPY,S,11285at33183,,,CPSG_06750,CIMG_02025,-0.246672766118705,0.585071189698776,0.575531578377673,0.00812752206447302,no upreg,no upreg
D8B26_001249,hypothetical protein,,PF02338,,,,,,,MER0957411,ENOG410PK8T,"O,T",12641at33183,,,CPSG_06749,CIMG_02024,-0.923312868440881,0.330091851403633,1.72631872454167,0.226088149038511,no upreg,no upreg
D8B26_001250,hypothetical protein,,PF00106;PF08659;PF13561, GO:0016491 - oxidoreductase activity,,,,,,,ENOG410PJCA,Q,11503at33183,,,CPSG_06748,CIMG_01997,-0.124176115643687,0.655104973867466,1.00617584595631,0.00120974594657087,no upreg,spherule_upreg
D8B26_001251,"alpha,alpha-trehalase nth1",NTH1,PF01204;PF07492," GO:0004555 - alpha,alpha-trehalase activity; GO:0003824 - catalytic activity; GO:0005509 - calcium ion binding", GO:0005991 - trehalose metabolic process; GO:0005993 - trehalose catabolic process, GO:0005737 - cytoplasm,,,,,ENOG410PFDB,G,2034at33183,GH37,,CPSG_06747,CIMG_01994,0.848013890491581,0.00320553561219067,1.63814382178975,1.55754964564496e-05,no upreg,spherule_upreg
D8B26_001252,hypothetical protein,,,,,,,,,,ENOG410PGSJ,J,,,,,,,,,,,
D8B26_001253,hypothetical protein,,,,,,,,,,ENOG41KOG1211,J,,,,CPSG_06746,,-0.453867773125175,0.557730016522091,-1.88104744411924,0.00712257937378349,no upreg,hyphae_upreg
D8B26_001254,hypothetical protein,,,,,,2 (i49-66o72-88i),,,,,,,,,CPSG_06744,,0.328650338077098,0.791037091838532,-0.919331378387023,0.0597031885779873,no upreg,no upreg
D8B26_001255,hypothetical protein,,,,,,,SignalP(1-18),,,ENOG410PSZA,T,,,,CPSG_06743,CIMG_10851,-0.784671523762661,0.0291145203196459,-6.49954441478564,1.37491764017629e-06,no upreg,hyphae_upreg
D8B26_001256,isocitrate lyase 1,ICL1,PF00463;PF13714, GO:0004451 - isocitrate lyase activity; GO:0003824 - catalytic activity, GO:0019752 - carboxylic acid metabolic process,,,,,,ENOG410PGND,C,4261at33183,,,CPSG_06741,CIMG_01988,1.80590605514129,0.178814842102998,3.03974221039591,0.000279293610707359,no upreg,spherule_upreg
D8B26_001257,hypothetical protein,,PF04082, GO:0008270 - zinc ion binding; GO:0003677 - DNA binding," GO:0006351 - transcription, DNA-templated", GO:0005634 - nucleus,,,,,ENOG410PPW6,S,,,,CPSG_06740,CIMG_01987,-0.715005751709491,0.280245636950021,-1.24381842538285,0.00943496201407734,no upreg,hyphae_upreg
D8B26_001258,hypothetical protein,,, GO:0005515 - protein binding,,,,,,,ENOG410Q563,S,,,,CPSG_06738,CIMG_01985,1.54434830713411,0.217080219576946,-0.927158678564878,0.0477231960073615,no upreg,no upreg
D8B26_001259,hypothetical protein,,,,,,,,,,ENOG410PNG1,S,10805at33183,,,CPSG_06737,CIMG_01984,0.671669576783792,0.0659342694823782,0.570278726772637,0.00480439970564991,no upreg,no upreg
D8B26_001260,hypothetical protein,,PF01019,,,,,,,MER0094876,ENOG410PIB1,E,3598at33183,,,CPSG_06736,CIMG_01983,-1.26486949399538,0.00574481180594291,1.06345183307851,9.42237416293638e-05,hyphae_upreg,spherule_upreg
D8B26_001261,Mitogen-activated protein kinase,MPK1,PF00069;PF07714, GO:0004672 - protein kinase activity; GO:0005524 - ATP binding; GO:0004707 - MAP kinase activity, GO:0006468 - protein phosphorylation,,,,,,ENOG410PFQD,T,6436at33183,,,CPSG_06734,CIMG_01981,-0.0483098901719128,0.888156356521516,-0.312589989240478,0.0367701024700265,no upreg,no upreg
D8B26_001262,hypothetical protein,,PF01817,, GO:0046417 - chorismate metabolic process,,,SignalP(1-19),,,ENOG410PSSB,S,,,,CPSG_06733,CIMG_01980,1.44270744060905,0.0012530413385664,0.88959585753899,0.00211635137190367,spherule_upreg,no upreg
D8B26_001263,mitochondrial import inner membrane translocase subunit TIM14,PAM18,,,,,1 (o6-25i),,,,ENOG410PSM6,O,16434at33183,,,CPSG_06732,CIMG_01979,0.228747078930409,0.239124011824212,0.431787149777102,0.0525955019315897,no upreg,no upreg
